Date,Opponent,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,Player
Fri 4/4,vsNO,"W

124-108",33,9-17,52.9,2-7,28.6,7-8,87.5,0,8,0,2,1,1,27,Lebron
Thu 4/3,vsGS,"L

123-116",40,10-15,66.7,5-8,62.5,8-9,88.9,5,9,1,1,2,4,33,Lebron
Mon 3/31,vsHOU,"W

104-98",38,5-12,41.7,2-4,50,4-4,100,8,4,2,2,1,3,16,Lebron
Sat 3/29,@MEM,"W

134-127",37,10-21,47.6,2-5,40,3-4,75,6,8,1,3,3,3,25,Lebron
Thu 3/27,@CHI,"L

119-117",39,8-20,40,0-5,0,1-2,50,5,12,0,2,1,4,17,Lebron
Wed 3/26,@IND,"W

120-119",38,4-12,33.3,0-3,0,5-5,100,13,7,0,1,1,1,13,Lebron
Mon 3/24,@ORL,"L

118-106",38,9-18,50,0-3,0,6-7,85.7,6,7,0,0,0,2,24,Lebron
Sat 3/22,vsCHI,"L

146-115",31,7-16,43.8,1-2,50,2-5,40,6,4,0,3,1,5,17,Lebron
Sat 3/8,@BOS,"L

111-101",35,11-23,47.8,0-6,0,0-3,0,14,9,0,0,3,1,22,Lebron
Thu 3/6,vsNY,"W

113-109 OT",44,11-23,47.8,2-8,25,7-8,87.5,12,8,1,0,3,1,31,Lebron
Tue 3/4,vsNO,"W

136-115",33,10-18,55.6,5-10,50,9-9,100,8,6,2,1,1,4,34,Lebron
Sun 3/2,vsLAC,"W

108-102",36,6-17,35.3,1-6,16.7,4-4,100,5,9,1,2,2,8,17,Lebron
Fri 2/28,vsLAC,"W

106-102",37,12-21,57.1,2-7,28.6,2-3,66.7,13,3,0,1,0,4,28,Lebron
Thu 2/27,vsMIN,"W

111-102",37,11-21,52.4,4-9,44.4,7-10,70,17,6,1,1,1,4,33,Lebron
Tue 2/25,vsDAL,"W

107-99",37,11-17,64.7,2-4,50,3-4,75,12,3,0,1,2,6,27,Lebron
Sat 2/22,@DEN,"W

123-100",33,11-19,57.9,1-4,25,2-3,66.7,9,5,3,1,2,1,25,Lebron
Thu 2/20,@POR,"W

110-102",36,14-24,58.3,4-8,50,8-8,100,8,4,1,2,2,11,40,Lebron
Wed 2/19,vsCHA,"L

100-97",38,10-22,45.5,4-11,36.4,2-2,100,7,11,2,1,0,2,26,Lebron
Wed 2/12,@UTAH,"L

131-119",34,6-13,46.2,4-8,50,2-4,50,6,7,0,1,3,3,18,Lebron
Mon 2/10,vsUTAH,"W

132-113",29,10-17,58.8,3-7,42.9,1-2,50,7,8,0,1,2,7,24,Lebron
Thu 2/6,vsGS,"W

120-112",38,14-25,56,6-9,66.7,8-10,80,17,8,1,1,1,3,42,Lebron
Tue 2/4,@LAC,"W

122-97",31,8-13,61.5,2-4,50,8-11,72.7,8,9,0,3,4,3,26,Lebron
Sat 2/1,@NY,"W

128-112",37,14-26,53.8,3-8,37.5,2-4,50,11,12,0,0,3,5,33,Lebron
Thu 1/30,@WSH,"W

134-96",27,9-19,47.4,1-4,25,5-5,100,3,11,0,0,1,0,24,Lebron
Tue 1/28,@PHI,"L

118-104",33,10-16,62.5,1-4,25,10-11,90.9,8,9,0,1,1,8,31,Lebron
Mon 1/27,@CHA,"W

112-107",36,9-17,52.9,1-8,12.5,3-5,60,7,8,0,0,0,5,22,Lebron
Sat 1/25,@GS,"W

118-108",35,12-25,48,0-1,0,1-2,50,5,12,0,1,0,3,25,Lebron
